LEA Record ID,Agency ORI,LEA Batch ID,Transaction Type,NFIA,Date/Time of Stop,Duration of Stop,Is Stop Made in Response to Call for Service,Officer Unique ID,Officer Years of Experience,Officer Type of Assignment,Other Assignment Type,Proxy Login,Location,City,Is Location a K‐12 Public School,K‐12 School Code,Per00n Number,Perceived Race or Ethnicity,Perceived Race or Ethnicity 2,Perceived Gender 1‐4,Perceived Gender 5 ‐ Gender Nonconforming,Is LGBT,Perceived Age,Per00n had Limited or No English Fluency,Perceived or Known Disability,Perceived or Known Disability 2,Perceived or Known Disability 3,"If K‐12 School, Is Stop of a Student",Rea00n for Stop,Rea00n for Stop Narrative,Traffic Violation Type,Traffic Violation ‐ CJIS Offense Code,Education Code Section,Education Code Subdivision,Suspicion CJIS Offense Code,Suspicion Sub‐Type,Suspicion Sub‐Type 2,Actions Taken,Actions Taken 2,Actions Taken 3,Actions Taken 4,Basis for Search,Basis for Search Narrative,Basis for Property Seizure,Type of Property Seized,Type of Property Seized 2,Type of Property Seized 3,Contraband or Evidence,Contraband or Evidence 2,Contraband or Evidence 3,Result of Stop,Warning CJIS Offense Code(s),Citation CJIS Offense Code(s),In‐field cite and release CJIS Offense Code(s),Custodial arrest CJIS Offense Code(s),Beat,Race Noted Before Detention,Marin Resident,,,,,,,,,,,,,,,,,
c4346658-7b56-4a30-913f-1ffa5e58e58d,CA0210000,,,,10/1/2020 20:44,8,No,12866,1,"1_Patrol, traffic enforcement, field operations",,,500 redwood frontage,MILL VALLEY,No,,,7_White,,1_Male,,No,30,No,8_None,,,,1_Traffic violation,Vehicle observed traveling without tail lights on,2_Equipment violation,54109,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),24252(A),,,,,,,,,,,,,,,,,,,,,,,
964b9b3b-7319-4641-a5d6-12bd96d72399,CA0210000,,,,10/1/2020 20:58,8,No,12649,3,"1_Patrol, traffic enforcement, field operations",,,SB 101 at N San Pedro,SAN RAFAEL,No,,,7_White,3_Hispanic/Latino(a),1_Male,,No,45,No,8_None,,,,1_Traffic violation,Registration is expired in violation of 4000(a) CVC,2_Equipment violation,54099,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
15543fb4-8427-43ab-a15e-ca9b5a91f896,CA0210000,,,,10/1/2020 22:03,8,No,11613,14,"1_Patrol, traffic enforcement, field operations",,,Gate 6 Rd at bridgeway ,SAUSALITO,No,,,2_Black/African American,,1_Male,,No,47,No,8_None,,,,1_Traffic violation ,11-96 Occupied,,,,,,,,24_NONE,,,,,,,,,,1_None,,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
059646ec-a855-48da-bfcb-23536f881696,CA0210000,,,,10/2/2020 18:30,60,Yes,12327,5,"1_Patrol, traffic enforcement, field operations",,,200 shoreline hwy,MILL VALLEY,No,,,7_White,,2_Female,,No,28,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Welfare check,,,,,,9_Other rea00nable suspicion of a crime,,6_Patrol car detention,,,,,,,,,,1_None,,,"8_Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency)",,,,,,,,,,,,,,,,,,,,,,,,
ba53964b-b8bd-418d-a028-b136df4719f8,CA0210000,,,,10/2/2020 22:04,6,No,12327,5,"1_Patrol, traffic enforcement, field operations",,,00uth bound 101 at Marin city,MARIN CITY,No,,,4_Middle Eastern or 00uth Asian,,1_Male,,No,27,No,8_None,,,,1_Traffic violation,Speeding,1_Moving violation,54134,,,,,,6_Patrol car detention,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
5c47619e-448b-40af-b5c0-8ea75195c29b,CA0210000,,,,10/1/2020 19:16,30,Yes,12516,5,"1_Patrol, traffic enforcement, field operations",,,100 E STRAWBERRY,MILL VALLEY,No,,,7_White,,2_Female,,No,50,No,4_Mental health condition,8_None,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Welfare check- rea00n for stop is not applicable ,,,,,NA - XX,9_Other rea00nable suspicion of a crime,,24_NONE,,,,,,,,,,1_None,,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
449d3e48-6cf8-44bf-be89-b2567fa53973,CA0210000,,,,10/1/2020 21:45,13,Yes,12649,3,"1_Patrol, traffic enforcement, field operations",,,Red Rock Way and Los Ranchitos,SAN RAFAEL,No,,,7_White,,2_Female,,No,40,No,4_Mental health condition,8_None,,,6_Consensual encounter resulting in search,5150 WI evaluation,,,,,,,,18_Search of per00n was conducted,17_Asked for consent to search per00n,24_NONE,,2_Officer safety/safety of others,RP stated subject was having hallucinations and had a knife in her possession during last law enforcement contact.,,,,,1_None,,,10_Psychiatric hold (W&I Code 5150 or 5585.20),,,,,,,,,,,,,,,,,,,,,,,,
2abcce42-b244-45dc-aa80-b658da0b8dd0,CA0210000,,,,10/1/2020 19:58,20,Yes,12054,13,"1_Patrol, traffic enforcement, field operations",,,100 Donahue ,MARIN CITY,No,,,2_Black/African American,,1_Male,,No,25,No,4_Mental health condition,4_Mental health condition,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Subject was 602 ,,,,,,2_Matched suspect description,,18_Search of per00n was conducted,4_Curbside detention,,,1_Consent given,Consent from subject,,,,,1_None,,,2_Warning (verbal or written),602,,,,,,,,,,,,,,,,,,,,,,,
f70df408-0ac5-4232-aca0-f0239997a380,CA0210000,,,,10/1/2020 21:18,65,Yes,12516,5,"1_Patrol, traffic enforcement, field operations",,,100 Donahue ,MARIN CITY,No,,,2_Black/African American,,1_Male,,No,25,No,"5_Intellectual or developmental disability, including dementia",8_None,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Trespassing at the gateway shopping center,,,,,602,1_Officer witnessed commission of a crime,3_Witness or victim identification of suspect at the scene,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,4_Curbside detention,,,,,,,,1_None,,,6_Custodial arrest without warrant,,,,,,,,,,,,,,,,,,,,,,,,
5232d75c-e704-4340-993a-9b3f7006a24e,CA0210000,,,,10/2/2020 00:38,4,No,12866,1,"1_Patrol, traffic enforcement, field operations",,,30 N San Pedro,SAN RAFAEL,No,,,7_White,,1_Male,,No,40,No,8_None,,,,1_Traffic violation,Observed vehicle traveling at a high rate of speed,1_Moving violation,54303,,,,,,24_NONE,,,,,,,,,,1_None,,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
f0013ca1-5099-4676-a9d3-8379429de4f7,CA0210000,,,,10/2/2020 02:16,23,No,12628,3,"1_Patrol, traffic enforcement, field operations",,,7200 Sir Francis Drake Blvd,LAGUNITAS,No,,,7_White,3_Hispanic/Latino(a),1_Male,,No,25,No,8_None,,,,6_Consensual encounter resulting in search,"Saw subject in bus stop bench, consensual contact to see if ok. Provides a courtesy ride to Fairfax at subjects request. ",,,,,,,,17_Asked for consent to search per00n,18_Search of per00n was conducted,,,,,,,,,1_None,,,"8_Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency)",,,,,,,,,,,,,,,,,,,,,,,,
501f3c41-149f-4ff6-85d4-826a66f77818,CA0210000,,,,10/1/2020 22:40,54,No,13020,0,"1_Patrol, traffic enforcement, field operations",,,10 Lucky Drive,GREENBRAE,No,,,7_White,,1_Male,,No,65,No,6_Other disability,8_None,,,6_Consensual encounter resulting in search,Consensual contact,,,,,,,,5_Handcuffed or flex cuffed,6_Patrol car detention,18_Search of per00n was conducted,,,,,,,,1_None,,,5_Custodial arrest pursuant to outstanding warrant,,,,14601.1(A),,,,,,,,,,,,,,,,,,,,
822ab430-6d09-4024-a671-81f46de53086,CA0210000,,,,10/2/2020 00:08,80,No,13020,0,"1_Patrol, traffic enforcement, field operations",,,Auburn Street/Gilbert Street,SAN RAFAEL,No,,,3_Hispanic/Latino(a),,2_Female,,No,27,Yes,4_Mental health condition,8_None,,,6_Consensual encounter resulting in search,Vehicle habitation ,,,,,,,,5_Handcuffed or flex cuffed,6_Patrol car detention,18_Search of per00n was conducted,,,,,,,,1_None,,,5_Custodial arrest pursuant to outstanding warrant,,,,243(E)(1),,,,,,,,,,,,,,,,,,,,
d0546154-0875-4bb3-978d-ca87b24f89dd,CA0210000,,,,10/2/2020 01:34,15,No,13020,0,"1_Patrol, traffic enforcement, field operations",,,3500 Civic Center Drive,SAN RAFAEL,No,,,7_White,,1_Male,,No,38,No,8_None,,,,6_Consensual encounter resulting in search,Consensual contact,,,,,,,,4_Curbside detention,18_Search of per00n was conducted,20_Search of property was conducted,,,,,,,,1_None,1_None,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
f7a832fa-bc02-42c8-975a-4cb7040547fe,CA0210000,,,,10/2/2020 02:02,4,No,12866,1,"1_Patrol, traffic enforcement, field operations",,,800 Redwood Highway Frontage,MILL VALLEY,No,,,3_Hispanic/Latino(a),,1_Male,,No,40,No,8_None,,,,1_Traffic violation,Vehicle observed driving without a light for his license plate,2_Equipment violation,54110,,,,,,24_NONE,,,,,,,,,,1_None,,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
93ec6d93-cee7-436e-93b5-e077eb089732,CA0210000,,,,10/2/2020 10:06,10,No,11508,15,"1_Patrol, traffic enforcement, field operations",,,Highway 101/131,MARIN CITY,No,,,4_Middle Eastern or 00uth Asian,,1_Male,,No,50,Yes,8_None,,,,1_Traffic violation,Brisket windshield ,2_Equipment violation,54138,,,,,,24_NONE,,,,,,,,,,1_None,,,3_Citation for infraction,,26710,,,,,,,,,,,,,,,,,,,,,,
c440ce63-816e-4b96-9029-e7b51ec1f2b6,CA0210000,,,,10/1/2020 14:20,60,Yes,12152,20,"1_Patrol, traffic enforcement, field operations",,,10 Guadalupe Avenue,FOREST KNOLLS,No,,,4_Middle Eastern or 00uth Asian,4_Middle Eastern or 00uth Asian,1_Male,,No,60,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,"Dispatched to location regarding subject on viewed by victim criminal act of peeping onto their property. Victim cooperated the claim, was arrested. ",,,,,647(I),3_Witness or victim identification of suspect at the scene,,24_NONE,,,,,,,,,,1_None,,,6_Custodial arrest without warrant,,,,,,,,,,,,,,,,,,,,,,,,
41d7dcac-b059-45fc-9123-1bbf45e9140e,CA0210000,,,,10/2/2020 12:40,3,Yes,11585,18,"1_Patrol, traffic enforcement, field operations",,,100 Buckelew  street,MARIN CITY,No,,,2_Black/African American,2_Black/African American,1_Male,,No,25,No,4_Mental health condition,8_None,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Consent contact for trespass,,,,,602,2_Matched suspect description,,Curbside detention ,24_NONE,,,,,,,,,1_None,,,2_Warning (verbal or written),602,,,,,,,,,,,,,,,,,,,,,,,
c7fd5b44-23ff-4269-8cd5-d722132f0406,CA0210000,,,,10/2/2020 16:56,11,No,11508,15,"1_Patrol, traffic enforcement, field operations",,,Redwood hwy frontage rd/Belvedere dr ,MILL VALLEY,No,,,7_White,,1_Male,,No,30,No,8_None,,,,1_Traffic violation,Brake light out and registration expired ,1_Moving violation,54144,,,,,,24_NONE,,,,,,,,,,1_None,,,3_Citation for infraction,,24603(B),,,,,,,,,,,,,,,,,,,,,,
ab882dc6-82eb-4b9f-964e-78f1b6952d1b,CA0210000,,,,10/2/2020 20:22,5,Yes,13020,0,"1_Patrol, traffic enforcement, field operations",,,Crown Road/ Goodhill Road,KENTFIELD,No,,,7_White,7_White,1_Male,,No,16,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Report of suspicious subject in the area. Juveniles located hiding from law enforcement ,,,,,,9_Other rea00nable suspicion of a crime,,4_Curbside detention,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
db005809-c847-430a-b77a-82fd62ad6360,CA0210000,,,,10/2/2020 21:30,5,No,12327,5,"1_Patrol, traffic enforcement, field operations",,,Los Ranchitos rd @ circle rd,SAN RAFAEL,No,,,7_White,,1_Male,,No,34,No,8_None,,,,1_Traffic violation,Failing to stop at stop sign,1_Moving violation,54167,,,,,,6_Patrol car detention,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
c7c78b87-0ed2-40c6-9a09-56836d132be6,CA0210000,,,,10/3/2020 19:00,60,Yes,12635,11,"1_Patrol, traffic enforcement, field operations",,,SR1 MM44,UNINCORPORATED AREA-MARIN COUNTY,No,,,7_White,7_White,2_Female,,No,40,No,4_Mental health condition,7_Disability related to hyperactivity or impulsive behavior,8_None,,6_Consensual encounter resulting in search,"Subject was 5150 WI for starting fires, getting in altercations, unable to care for self",,,,,,,,5_Handcuffed or flex cuffed,22_Vehicle impounded,24_NONE,,,,,,,,1_None,,,10_Psychiatric hold (W&I Code 5150 or 5585.20),,,,,,,,,,,,,,,,,,,,,,,,
be189bed-df10-468e-afb6-e18117122e65,CA0210000,,,,10/3/2020 01:03,35,Yes,12327,5,"1_Patrol, traffic enforcement, field operations",,,100 Donahue st,MARIN CITY,No,,,2_Black/African American,,1_Male,,No,32,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Searched for being on active parole,,,,,,2_Matched suspect description,,20_Search of property was conducted,,,,,,2_Contraband,,,,5_Drugs/narcotics,1_None,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
7fefa2ba-30cb-4d67-a5bd-b2bffb487f4c,CA0210000,,,,10/2/2020 20:03,40,Yes,12649,3,"1_Patrol, traffic enforcement, field operations",,,18000 Shoreline Hwy,MARSHALL,No,,,3_Hispanic/Latino(a),,1_Male,,No,20,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Reporting party stated vehicle left the scene of a commercial burglary.,,,,,459,2_Matched suspect description,,1_Per00n removed from vehicle by order,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,20_Search of property was conducted,,,,,,,1_None,1_None,,7_Field interview card completed,,,,,,,,,,,,,,,,,,,,,,,,
e87fd0f1-e218-42bf-8862-5b6f4d4d2ac0,CA0210000,,,,10/2/2020 20:03,40,Yes,12649,3,"1_Patrol, traffic enforcement, field operations",,,18000 Shoreline Hwy,MARSHALL,No,,,4_Middle Eastern or 00uth Asian,,2_Female,,No,20,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Reporting party observed subject leaving the area of a suspected burglary,,,,,459,2_Matched suspect description,,1_Per00n removed from vehicle by order,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,20_Search of property was conducted,,,,,,,1_None,,,7_Field interview card completed,,,,,,,,,,,,,,,,,,,,,,,,
7ffb357e-1f52-4a13-8507-bb2b7449f7ce,CA0210000,,,,10/2/2020 08:03,40,Yes,12649,3,"1_Patrol, traffic enforcement, field operations",,,18000 Shoreline Hwy,MARSHALL,No,,,7_White,,2_Female,,No,20,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Reporting party observed subject leaving the area of a suspected burglary.,,,,,459,2_Matched suspect description,,1_Per00n removed from vehicle by order,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,20_Search of property was conducted,,,,,,,1_None,,,7_Field interview card completed,,,,,,,,,,,,,,,,,,,,,,,,
eb47528e-7d4f-4988-bcfb-e5f3f87cd915,CA0210000,,,,10/2/2020 23:27,8,Yes,12516,5,"1_Patrol, traffic enforcement, field operations",,,300 carrera dr ,TAMALPAIS VALLEY,No,,,7_White,,2_Female,,No,17,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,AMED- eval for 5150 for possible OD. Negative ,,,,,NA - XX,9_Other rea00nable suspicion of a crime,,24_NONE,,,,,,,,,,1_None,,,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
cd1e4ec2-a4ae-41d2-afac-4b77bc878ab0,CA0210000,,,,10/3/2020 00:17,22,No,12516,5,"1_Patrol, traffic enforcement, field operations",,,Marsh Rd and Beach Rd,TIBURON,No,,,7_White,,2_Female,,No,35,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,SERVICE OF DV TRO ,,,,,273.6(A),9_Other rea00nable suspicion of a crime,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),273.6(A),,,,,,,,,,,,,,,,,,,,,,,
cf130b0a-7909-4f12-92ab-5b93f7dca931,CA0210000,,,,10/3/2020 09:56,13,No,12838,1,"1_Patrol, traffic enforcement, field operations",,,5000 Sir Francis Drake Blvd,SAN GERONIMO,No,,,3_Hispanic/Latino(a),3_Hispanic/Latino(a),2_Female,,No,35,Yes,8_None,,,,1_Traffic violation,Crossed over double yellow lines,1_Moving violation,54169,,,,,,24_NONE,,,,,,,,,,1_None,,,3_Citation for infraction,,12500(A),,,,,,,,,,,,,,,,,,,,,,
c70b1b96-1a51-4a50-b9ba-246fec951dc7,CA0210000,,,,10/3/2020 09:49,137,Yes,11508,15,"1_Patrol, traffic enforcement, field operations",,,800 redwood hwy/frontage rd,MILL VALLEY,No,,,3_Hispanic/Latino(a),3_Hispanic/Latino(a),1_Male,,No,30,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Dispatched to drug activity. Asset forfeiture investigation conducted. ,,,,,11379,7_Actions indicative of a drug transaction,1_Officer witnessed commission of a crime,4_Curbside detention,18_Search of per00n was conducted,24_NONE,,,,Only use #6 if the stop was made at a public school AND the subject is a student,,,,7_Money,5_Drugs/narcotics,8_Drug paraphernalia,1_No action,,,,,,,,,,,,,,,,,,,,,,,,
6313853b-a52f-45d3-a7ec-9aa17a99d9ea,CA0210000,,,,10/3/2020 09:49,132,Yes,11508,15,"1_Patrol, traffic enforcement, field operations",,,Redwood hwy/frontage rd,MILL VALLEY,No,,,3_Hispanic/Latino(a),3_Hispanic/Latino(a),1_Male,,No,28,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Dispatched to narcotics call. Completed asset forfeiture investigation. ,,,,,11359,7_Actions indicative of a drug transaction,1_Officer witnessed commission of a crime,4_Curbside detention,18_Search of per00n was conducted,19_Asked for consent to search property,24_NONE,,,1_Safekeeping as allowed by law/statute,,,,7_Money,7_Money,5_Drugs/narcotics,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
190c2ec0-6c39-4a54-a6b1-0a9ec991dc19,CA0210000,,,,10/3/2020 13:02,30,Yes,12089,8,"1_Patrol, traffic enforcement, field operations",,,150 shoreline highway,MILL VALLEY,No,,,7_White,2_Black/African American,2_Female,,No,24,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Welfare check,,,,,11377(A),2_Matched suspect description,,5_Handcuffed or flex cuffed,,,,,,2_Contraband,,,,5_Drugs/narcotics,1_None,,6_Custodial arrest without warrant,,,,,,,,,,,,,,,,,,,,,,,,
cf9e4c24-0f11-47d2-bb58-2b59458464cf,CA0210000,,,,10/3/2020 21:38,4,No,11865,11,"1_Patrol, traffic enforcement, field operations",,,Highway 101 @ Lincoln ,SAN RAFAEL,No,,,7_White,,1_Male,,No,40,No,8_None,,,,1_Traffic violation,Traffic stop was made for speeding on the freeway. ,1_Moving violation,54134,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
b3f31b22-11bc-4996-8435-bd8e332aff9e,CA0210000,,,,10/3/2020 15:48,120,Yes,12635,11,"1_Patrol, traffic enforcement, field operations",,,1 Walla Vista,STIN00N BEACH,No,,,7_White,7_White,1_Male,,No,30,No,8_None,,,,2_Rea00nable suspicion that per00n was engaged in criminal activity,Subject was trying door handles and going in to vehicles. Report was of an auto burglar,,,,,10852,2_Matched suspect description,9_Other rea00nable suspicion of a crime,5_Handcuffed or flex cuffed,18_Search of per00n was conducted,20_Search of property was conducted,17_Asked for consent to search per00n,,,3_Evidence,11_Other contraband or evidence,,,7_Money,1_None,,6_Custodial arrest without warrant,,,,,,,,,,,,,,,,,,,,,,,,
f8eec3e1-8948-431b-a565-da537e66eeb9,CA0210000,,,,10/3/2020 23:38,11,No,12054,13,"1_Patrol, traffic enforcement, field operations",,,CMD @NB 101 Paradise,CORTE MADERA,No,,,7_White,,1_Male,,No,25,No,8_None,,,,1_Traffic violation,Cvc violation ,1_Moving violation,54106,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
5ca97869-b7f6-4b5a-b488-befa9cf8d483,CA0210000,,,,10/3/2020 22:52,8,No,12054,13,"1_Patrol, traffic enforcement, field operations",,,500 Redwood Hwy Frontage,MILL VALLEY,No,,,7_White,,1_Male,,No,30,No,8_None,,,,1_Traffic violation,Cvc violation,2_Equipment violation,54644,,,,,,24_NONE,,,,,,,,,,1_None,,,2_Warning (verbal or written),,,,,,,,,,,,,,,,,,,,,,,,
