contactdate,contacttime,cadincident,casenumber,dispatched,encountertype,beat,bfostopped,areastopped,blocknumber,Address,intelligenceled,bwcactivated,subject_reasonforencounter,suspicion_type_AB953,ReasonForStop,InitiatingOffense_AB953,TypeTraffic_AB953,TrafficCode,subjectnumber,LocationVehicleOccupant,subject_age,subject_agegroup,perceived_age_AB953,gender_opd,perceived_gender_AB953,GenderNonCon,LGBT,race_opd,perceived_race_AB953,RacePerceivedPrior,Disability,Fluency,Student,EduCode,EduCodeSubdivision,oaklandresident,Parole,Probation,stop_relatedactions_AB953,search_relatedactions_AB953,uof_relatedactions_AB953,other_actions_AB953,Consent_Person,Consent_Given_Person,Consent_Property,Consent_Given_Property,no_actions_above_ck,handcuffed,citationnumber,subject_durationofencounter,SearchRelatedActions_AB953,searchconducted,searched,SearchBasis_AB953,SearchTypeGrouping_opd,EvidDisc_AB953,discovery_opd,BasisForSeizure_AB953,recovery_opd,PropertySeized_AB953,ResultofStop_AB953,resultofstop_opd,UseOfForce_opd,FinalDate,VTKReportID,vtkreportid_without_minus_sign,Unique ID
1/4/21,27:00.0,LOP210104000802,21-000582,Non-Dispatch,Vehicle,27Y,BFO 2,Area 4,6100,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21750-VC-OVERTAKE/LEFT PASS VIOL-I,Moving violation,21750-VC-OVERTAKE/LEFT PASS VIOL-I,1,Driver,20,18-29,20,F,Female,0,0,Asian,Pacific Islander,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2027108,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,In-field cite and release - Offense(s) required,",Arrest,NULL,1/5/21,LPRWADUZG0GEL2,LPRWADUZG0GEL2,LPRWADUZG0GEL2-1
1/4/21,33:00.0,LOP210104000597,NULL,Non-Dispatch,Vehicle,01X,BFO 1,Area 1,500,Jackson Street,No,Yes,Traffic violation,NULL,Traffic Violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,Moving violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,1,Driver,23,18-29,25,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2066981,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/4/21,552WADQ11QWEYC,552WADQ11QWEYC,552WADQ11QWEYC-1
1/5/21,13:00.0,LOP210105000908,NULL,Non-Dispatch,Vehicle,30Y,BFO 2,Area 5,2800,73rd Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,26,18-29,30,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,7/18/21,871WAEWMX8UK8C,871WAEWMX8UK8C,871WAEWMX8UK8C-1
1/5/21,15:00.0,LOP210105000587,NULL,Non-Dispatch,Vehicle,30X,BFO 2,Area 5,900,73rd Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21453(C)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(C)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,26,18-29,25,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,2/8/21,410WAMPMTHCC6S,410WAMPMTHCC6S,410WAMPMTHCC6S-1
1/5/21,19:00.0,LOP210105000327,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,9300,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,38,30-39,40,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138379,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,In-field cite and release - Offense(s) required,",Arrest,NULL,1/8/21,257WAEKPCIHHV7,257WAEKPCIHHV7,257WAEKPCIHHV7-1
1/5/21,41:00.0,LOP210105000351,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,9300,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,44,Over 40,40,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138381,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,In-field cite and release - Offense(s) required,",Arrest,NULL,1/8/21,257WAEKZQP15TL,257WAEKZQP15TL,257WAEKZQP15TL-1
1/5/21,57:00.0,LOP210105000300,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,9300,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,47,Over 40,45,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2269123,30,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/8/21,265WAEKGRS6S1P,265WAEKGRS6S1P,265WAEKGRS6S1P-1
1/5/21,00:00.0,LOP210105000370,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,9300,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,Moving violation,22350-VC-UNSAFE SPEED:PREVAIL COND-I,1,Driver,45,Over 40,40,F,Female,0,0,Asian,Asian,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2269124,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/8/21,265WAEM3KI7GJM,265WAEM3KI7GJM,265WAEM3KI7GJM-1
1/5/21,10:00.0,LOP210105000866,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,1600,International Boulevard,No,Yes,Traffic violation,NULL,Traffic Violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,Moving violation,21453(A)-VC-FAIL STOP LINE/ETC AT RED-I,1,Driver,24,18-29,24,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/6/21,LPRWAEVIKXR0HU,LPRWAEVIKXR0HU,LPRWAEVIKXR0HU-1
1/5/21,10:00.0,LOP210105000010,NULL,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,900,International Boulevard,Yes,Yes,Traffic violation,NULL,Traffic Violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,Moving violation,22107-VC-UNSAF TURN &/OR NO SIGNAL-I,1,Driver,52,Over 40,50,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2108950,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Citation for infraction - Offense(s) required,",Citation,NULL,1/5/21,854WAEZVKVTJDK,854WAEZVKVTJDK,854WAEZVKVTJDK-1
1/5/21,47:00.0,LOP210105000146,NULL,Non-Dispatch,Vehicle,04X,BFO 1,Area 1,2100,San Pablo Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,22500-VC-PARKING/ETC VIO:SPEC CIRC-I,Moving violation,22500-VC-PARKING/ETC VIO:SPEC CIRC-I,1,Driver,46,Over 40,35,F,Female,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,"Search of person conducted,Search of property conducted,",NULL,NULL,No,NULL,No,NULL,0,NULL,NULL,15,"Search of person conducted,Search of property conducted,",Yes,Person and Property,"Visible contraband,",Discretionary Search,"Drugs/narcotics,Marijuana,Drug paraphernalia,",Yes,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/5/21,865WAEHIIPQ31U,865WAEHIIPQ31U,865WAEHIIPQ31U-1
1/6/21,26:00.0,LOP210106000682,NULL,Non-Dispatch,Vehicle,22X,BFO 1,Area 3,2400,Alida Street,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,48,Over 40,45,M,Male,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,16,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/8/21,798WAFRUVI9L9Z,798WAFRUVI9L9Z,798WAFRUVI9L9Z-1
1/6/21,16:00.0,LOP210106000346,NULL,Non-Dispatch,Vehicle,24X,BFO 2,Area 4,1900,Courtland Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21460(A)-VC-VEH CROSS DBL SOLID LINE-I,Moving violation,21460(A)-VC-VEH CROSS DBL SOLID LINE-I,1,Driver,26,18-29,25,M,Male,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2144919,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/7/21,470WAFKTRTXP5Y,470WAFKTRTXP5Y,470WAFKTRTXP5Y-1
1/6/21,44:00.0,LOP210106000742,21-000897,Non-Dispatch,Vehicle,19X,BFO 1,Area 3,1800,Solano Way,Yes,Yes,Traffic violation,NULL,Traffic Violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,Equipment violation,5200(A)-VC-DISPLAY LIC PLATES WRONG-I,1,Driver,0,NULL,0,U,Male,0,0,Other,White,No,"None,",0,NULL,NULL,NULL,Unknown,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,3,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,2/8/21,238WAKUT1VEJ9I,238WAKUT1VEJ9I,238WAKUT1VEJ9I-1
1/7/21,01:00.0,LOP210107000693,NULL,Non-Dispatch,Vehicle,30Y,BFO 2,Area 5,2500,78th Avenue,No,Yes,Traffic violation,NULL,Traffic Violation,21650-VC-FAIL DRIVE RT HALF ROAD-I,Moving violation,21650-VC-FAIL DRIVE RT HALF ROAD-I,1,Driver,37,30-39,30,M,Male,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,"Patrol car detention,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,No,NULL,20,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,Citation for infraction - Offense(s) required,",Citation,NULL,2/8/21,410WAGT1O7PAJW,410WAGT1O7PAJW,410WAGT1O7PAJW-1
1/7/21,18:00.0,LOP210107000797,NULL,Non-Dispatch,Vehicle,02X,BFO 1,Area 1,800,Adeline Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,41,Over 40,50,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,4/11/21,530WAGTTK1UY8Y,530WAGTTK1UY8Y,530WAGTTK1UY8Y-1
1/7/21,06:00.0,LOP210107000749,NULL,Non-Dispatch,Vehicle,34X,BFO 2,Area 5,9400,Birch Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,38,30-39,30,F,Female,0,0,Black/African American,Black/African American,Yes,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,No,NULL,No,NULL,0,NULL,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Warning (verbal or written) - Offense(s) required,",Warning,NULL,1/7/21,546WAGSTWCV8X2,546WAGSTWCV8X2,546WAGSTWCV8X2-1
1/7/21,06:00.0,LOP210107000749,NULL,Non-Dispatch,Vehicle,34X,BFO 2,Area 5,9400,Birch Street,Yes,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,2,Passenger,38,30-39,35,F,Female,0,0,Black/African American,Black/African American,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,NULL,10,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,",No Action,NULL,1/7/21,546WAGSTWCV8X2,546WAGSTWCV8X2,546WAGSTWCV8X2-2
1/7/21,16:00.0,LOP210107000352,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,8900,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,25,18-29,27,F,Female,0,0,Black/African American,Black/African American,Yes,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2269125,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/13/21,265WAGMQVXYUQ4,265WAGMQVXYUQ4,265WAGMQVXYUQ4-1
1/7/21,36:00.0,LOP210107000371,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,8900,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,245.2-PC-ADW TRANSP PRSNL/ETC-F,Moving violation,245.2-PC-ADW TRANSP PRSNL/ETC-F,1,Driver,28,18-29,30,M,Male,0,0,Black/African American,Black/African American,Yes,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138201,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,Citation for infraction - Offense(s) required,",Citation,NULL,1/13/21,265WAGMVTS6CCW,265WAGMVTS6CCW,265WAGMVTS6CCW-1
1/7/21,47:00.0,LOP210107000230,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,8700,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,28,18-29,30,M,Male,0,0,Asian,Asian,No,"Speech impairment or limited use of language,",1,NULL,NULL,NULL,No,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138382,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,In-field cite and release - Offense(s) required,",Arrest,NULL,1/13/21,257WAGIAAYJ2XU,257WAGIAAYJ2XU,257WAGIAAYJ2XU-1
1/7/21,55:00.0,LOP210107000329,NULL,Non-Dispatch,Vehicle,35X,BFO 2,Area 5,8700,Golf Links Road,No,Yes,Traffic violation,NULL,Traffic Violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,Moving violation,22450(A)-VC-FAIL STOP VEH:XWALK/ETC-I,1,Driver,63,Over 40,50,M,Male,0,0,White,White,No,"None,",0,NULL,NULL,NULL,Yes,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,No,2138383,15,NULL,No,None,NULL,NULL,"None,",No,NULL,No,NULL,"Field Interview card completed,In-field cite and release - Offense(s) required,",Arrest,NULL,1/13/21,257WAGKAIZXKC5,257WAGKAIZXKC5,257WAGKAIZXKC5-1
