Date,Time,Street,Cross Street,Source of Call,Total OnScene Time,Stop - K-12?,Stop - School Code,Stop - Officer Assignment,Stop - Reason For,Stop - Suspicion Types,Stop - Violation Type,Stop - Perc Race,Stop - Perc Disabilities,Stop - Perc Gender,Stop - Perc LGBT?,Stop - Limited English?,Stop - Perc Age,Stop - Actions Taken,Stop - Search Basis,Stop - Evidence Discovered,Stop - Seized Property Basis,Stop - Seized Property Type,Stop - Result,Stop - Citation Code 1,Stop - Citation Desc 1,Stop - Custodial Code 1,Stop - Custodial Desc 1,Stop - Cite/Release Code 1,Stop - Cite/Release Desc 1,Stop - Warning Code 1,Stop - Warning Desc 1,Stop - Educ Section,Stop - Educ Subdivision
1/3/20,18:01:27,BIRCH LN,E COVELL BL,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,24600 VC,TAILLAMP VIOLATIONS - I,,
1/3/20,22:34:44,RUSSELL BL,MILLER DR,O,0,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,21,None,,,,,No action,,,,,,,,,,
1/3/20,02:49:24,3RD ST,L ST,O,111,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,White,None,Male,F,F,45,"Asked for consent to search person, Handcuffed or flex cuffed, Search of person was conducted","Consent given, Incident to arrest",None,,,Custodial arrest pursuant to outstanding warrant,,,,,,,,,,
1/3/20,20:15:43,ARROYO AV,VALEROSA WY/CARICIA DR,W,0,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Other reasonable suspicion of a crime, Witness or victim identification of suspect at the scene",,Black/African American,None,Male,F,F,23,Search of person was conducted,"Incident to arrest, Officer safety/safety of others",None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
1/3/20,17:32:30,MACE BL,MONTGOMERY AV,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,5202 VC,LICENSE PLATE DISPLAY VIO - I,,
1/3/20,17:51:40,HWY 113,COVELL BL,O,14,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,45,None,,,,,Citation for infraction,21453(C) VC,FAIL STOP LINE/ETC AT RED - I,,,,,,,,
1/3/20,20:39:42,BUENO DR,AURORA AV/CORTEZ AV,W,176,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,40,"Handcuffed or flex cuffed, Search of person was conducted","Officer safety/safety of others, Suspected weapons",None,,,"Noncriminal transport or caretaking transport (including transport by officer, ambulance or other agency), Psychiatric hold (W&I Code 5150 or 5585.20)",,,,,,,,,,
1/3/20,19:37:56,ANDERSON RD,HANOVER DR/W COVELL BL,T,117,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,White,None,Male,F,F,25,"Handcuffed or flex cuffed, Property was seized, Search of person was conducted, Search of property was conducted",Evidence of crime,Suspected stolen property,Evidence,Suspected stolen property,In-field cite and release,,,,,488 PC,PETTY THEFT - M,,,,
1/4/20,21:34:17,LAKE BL,ARLINGTON BL,O,4,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Female,F,F,40,None,,,,,No action,,,,,,,,,,
1/4/20,21:25:09,D ST,6TH ST,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Female,F,F,25,None,,,,,No action,,,,,,,,,,
1/4/20,22:14:17,RUSSELL BL,S CAMPUS WY,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,22,None,,,,,Citation for infraction,21461(A) VC,DRIVER FAIL OBEY SIGN/ETC - I,,,,,,,,
1/4/20,22:25:34,UNIVERSITY AV,RUSSELL BL,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,45,None,,,,,Citation for infraction,14600(A) VC,FAIL NOTE DMV ADD CHG:CDL - I,,,,,,,,
1/4/20,11:36:30,E COVELL BL,MACE BL/CR104,T,118,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Hispanic/Latino,None,Male,F,F,20,"Asked for consent to search person, Search of person was conducted",Consent given,None,,,Warning (verbal or written),,,,,,,23152(F) VC,DUI ANY DRUG - M,,
1/4/20,11:36:30,E COVELL BL,MACE BL/CR104,T,118,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,Hispanic/Latino,None,Male,F,F,21,Curbside detention,,,,,No action,,,,,,,,,,
1/4/20,11:36:30,E COVELL BL,MACE BL/CR104,T,118,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Hispanic/Latino,None,Female,F,F,20,None,,,,,No action,,,,,,,,,,
1/4/20,22:41:46,MACE BL,CR104/E COVELL BL,O,9,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,18,None,,,,,Warning (verbal or written),,,,,,,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,
1/4/20,20:14:24,COWELL BL,KOSO ST,O,67,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,18,None,,,,,Warning (verbal or written),,,,,,,24250 VC,DRIVE WITHOUT LIGHTS:DARK - I,,
1/5/20,13:29:06,ALHAMBRA DR,ARROYO AV/MACE BL,W,260,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,White,None,Male,F,F,21,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,243(E)(1) PC,BAT:SPOUSE/EX SP/DATE/ETC - M,,,,,,
1/5/20,16:16:27,C ST,4TH ST/5TH ST,T,88,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Female,F,F,55,None,,,,,Citation for infraction,65000 ZZ,LOCAL ORDINANCE VIOL - M,,,,,,,,
1/5/20,15:20:42,ALHAMBRA DR,5TH ST,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,21,None,,,,,Warning (verbal or written),,,,,,,21453(A) VC,FAIL STOP LINE/ETC AT RED - I,,
1/5/20,03:23:41,ANTIOCH DR,EUREKA AV,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,20,None,,,,,No action,,,,,,,,,,
1/5/20,03:29:33,RUSSELL BL,PORTAGE BAY EAST,O,47,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,22,None,,,,,Citation for infraction,14601.1(A) VC,DRIVE:LIC SUSPENDED/ETC - M,,,,,,,,
1/5/20,21:59:13,E 8TH ST,K ST,O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,20,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
1/5/20,23:58:36,2ND ST,FERMI PL/MACE BL,T,15,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Matched suspect description, Other reasonable suspicion of a crime",,"Black/African American, Hispanic/Latino",None,Male,F,F,40,None,,,,,No action,,,,,,,,,,
1/5/20,00:22:12,ANDERSON RD,AVOCET AV/SANDPIPER DR,O,5,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,22,None,,,,,Warning (verbal or written),,,,,,,65000 ZZ,LOCAL ORDINANCE VIOL - M,,
1/5/20,23:51:24,MACE BL,CHILES RD,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Male,F,F,25,None,,,,,No action,,,,,,,,,,
1/6/20,17:15:42,3RD ST,H ST,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Male,F,F,25,None,,,,,Warning (verbal or written),,,,,,,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,
1/6/20,11:25:25,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,12,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Middle Eastern or South Asian,None,Male,F,F,30,None,,,,,Citation for infraction,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
1/6/20,18:07:47,CHILES RD,MACE BL/EL CEMONTE AV,O,54,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,Black/African American,None,Male,F,F,40,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,No action,,,,,,,,,,
1/6/20,19:04:21,G ST,4TH ST/5TH ST,W,62,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Officer witnessed commission of a crime,,White,None,Male,F,F,35,"Handcuffed or flex cuffed, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,647(F) PC,DISORD CONDUCT:ALCOHOL - M,,,,,,
1/6/20,14:33:44,RESEARCH PARK DR,POLE LINE RD/COWELL BL (PARK),O,36,F,,"Patrol, traffic enforcement, field operations",Consensual encounter resulting in search,,,White,None,Male,F,F,30,"Asked for consent to search property, Search of property was conducted",Consent given,None,,,No action,,,,,,,,,,
1/6/20,22:44:43,CHILES RD,ENSENADA DR/MACE BL,O,49,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Male,F,F,35,"Patrol car detention, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Citation for infraction,4462.5 VC,SHO ON VEH/GIV PO FLS REG - M,,,,,,,,
1/6/20,04:57:29,I 80 W,WO MACE BL,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,45,None,,,,,Citation for infraction,21755 VC,USE SHOLDER/ETC:PAS RIGHT - I,,,,,,,,
1/6/20,08:50:04,F ST,2ND ST/3RD ST,T,222,F,,"Patrol, traffic enforcement, field operations",Knowledge of outstanding arrest warrant/wanted person,,,Hispanic/Latino,None,Male,F,F,28,"Handcuffed or flex cuffed, Search of person was conducted",Officer safety/safety of others,None,,,"Custodial arrest pursuant to outstanding warrant, Custodial arrest without warrant",,,273.5 PC,INFLICT CRPL INJ SP/COHAB - F,,,,,,
1/6/20,16:26:56,MACE BL,ALHAMBRA DR/2ND ST,O,123,F,,"Patrol, traffic enforcement, field operations",Known to be on parole/probation/PRCS/mandatory supervision,,,White,None,Male,F,F,35,"Curbside detention, Handcuffed or flex cuffed, Patrol car detention, Property was seized, Search of person was conducted",Condition of parole/probation/PRCS/mandatory supervision,"Drug paraphernalia, Other contraband or evidence",Contraband,"Drugs/narcotics, Other contraband or evidence",Custodial arrest without warrant,,,11364(A) HS,POSS UNLAW PARAPHERNALIA - M,,,,,,
1/6/20,13:35:57,F ST,ANDERSON RD/GRANDE AV,T,159,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Matched suspect description,,White,None,Male,F,F,39,"Handcuffed or flex cuffed, Search of person was conducted","Incident to arrest, Officer safety/safety of others",None,,,Custodial arrest without warrant,,,594(A) PC,VANDALISM - M,,,,,,
1/6/20,13:15:11,COWELL BL,CHILES RD/KOSO ST,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Black/African American,None,Male,F,F,80,None,,,,,Warning (verbal or written),,,,,,,21800(A) VC,FAIL YIELD INTERSECT:HWY - I,,
1/6/20,12:56:02,MACE BL,ALHAMBRA DR/2ND ST,W,40,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,Mental health condition,Male,F,F,45,"Asked for consent to search person, Curbside detention, Search of person was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,No action,,,,,,,,,,
1/6/20,23:51:17,RUSSELL BL,ANDERSON RD,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Asian,None,Male,F,T,20,None,,,,,Warning (verbal or written),,,,,,,24250 VC,DRIVE WITHOUT LIGHTS:DARK - I,,
1/6/20,10:40:22,W COVELL BL,CATALINA DR,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,35,None,,,,,Citation for infraction,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
1/6/20,13:41:40,ANDERSON RD,RUSSELL BL/SUNSET CT,T,7,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,0,"Asked for consent to search person, Search of person was conducted",Consent given,None,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
1/6/20,18:54:52,5TH ST,POLE LINE RD,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,40,None,,,,,Warning (verbal or written),,,,,,,24250 VC,DRIVE WITHOUT LIGHTS:DARK - I,,
1/7/20,18:15:31,2ND ST,FARADAY AV (EAST),O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Hispanic/Latino,None,Male,F,F,30,None,,,,,Warning (verbal or written),,,,,,,22350 VC,UNSAFE SPEED:PREVAIL COND - I,,
1/7/20,22:46:29,CHILES RD,MACE BL/EL CEMONTE AV,O,17,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,35,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted",Consent given,None,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
1/7/20,01:42:05,2ND ST,POLE LINE RD,O,18,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,35,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,602 PC,TRESPASSING - M,,
1/7/20,20:54:48,MACE BL,ALHAMBRA DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,70,None,,,,,Warning (verbal or written),,,,,,,24400 VC,HEADLAMP:OPR/AMT/SIZE:VIO - I,,
1/7/20,21:43:11,COWELL BL,RESEARCH PARK DR (PARK),O,49,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Male,F,T,35,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/7/20,22:18:39,I 80 E,MACE BL,O,48,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Female,F,F,40,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/7/20,22:16:23,G ST,2ND ST,O,34,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Male,F,F,23,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted","Consent given, Visible contraband",None,,,Warning (verbal or written),,,,,,,5200(A) VC,DISPLAY LIC PLATES WRONG - I,,
1/7/20,22:43:42,CHILES RD,MACE BL/EL CEMONTE AV,O,31,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Male,F,F,45,None,Evidence of crime,,,,No action,,,,,,,,,,
1/7/20,23:07:43,OHLONE ST,MONO PL/MAIDU PL,O,62,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Black/African American,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,14601(A) VC,DRIV:SUSP/ETC LIC:RECKLES - M,,
1/7/20,23:12:13,OHLONE ST,MONO PL/MAIDU PL,O,42,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,White,None,Female,F,F,37,"Asked for consent to search person, Asked for consent to search property, Search of person was conducted, Search of property was conducted",Consent given,None,,,No action,,,,,,,,,,
1/7/20,20:22:20,I 80 E,EO MACE BL,O,60,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,45,"Firearm pointed at person, Patrol car detention, Person removed from vehicle by order, Search of person was conducted, Search of property was conducted","Evidence of crime, Officer safety/safety of others",None,,,Warning (verbal or written),,,,,,,5200(A) VC,DISPLAY LIC PLATES WRONG - I,,
1/7/20,16:37:07,E COVELL BL,ALHAMBRA DR,O,7,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,30,None,,,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/7/20,19:51:49,W COVELL BL,SYCAMORE LN,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,White,None,Male,F,F,40,None,,,,,Warning (verbal or written),,,,,,,21201(D) VC,BIKE HEADLIGHT/ETC VIOL - I,,
1/7/20,22:18:39,I 80 E,MACE BL,O,48,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Black/African American,None,Male,F,F,40,"Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,None,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/7/20,10:37:15,LILLARD DR,DANBURY ST/ARNOLD ST,O,10,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,Asian,None,Female,F,F,25,None,,,,,Citation for infraction,22450(A) VC,FAIL STOP VEH:XWALK/ETC - I,,,,,,,,
1/7/20,23:12:13,OHLONE ST,MONO PL/MAIDU PL,O,42,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Male,F,F,25,"Asked for consent to search person, Search of person was conducted",Consent given,None,,,No action,,,,,,,,,,
1/7/20,23:02:03,POLE LINE RD,5TH ST,O,5,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Asian,None,Male,F,F,21,None,,,,,Warning (verbal or written),,,,,,,24603 VC,STOPLAMP VIOLATIONS - I,,
1/8/20,01:00:15,POLE LINE RD,E COVELL BL,O,1,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Middle Eastern or South Asian,None,Female,F,F,55,None,,,,,No action,,,,,,,,,,
1/8/20,19:08:33,RESEARCH PARK DR,RICHARDS BL/COWELL BL (CHEVRON),O,6,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",Asian,Speech impairment or limited use of language,Male,F,T,20,None,,,,,No action,,,,,,,,,,
1/8/20,19:07:39,COLGATE DR,L ST/M ST,T,324,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,Other reasonable suspicion of a crime,,Black/African American,None,Male,F,F,23,"Handcuffed or flex cuffed, Patrol car detention, Search of person was conducted",Incident to arrest,None,,,Custodial arrest without warrant,,,273.5 PC,INFLICT CRPL INJ SP/COHAB - F,,,,,,
1/8/20,22:27:37,COWELL BL,MACE BL,O,3,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Black/African American,None,Female,F,F,40,None,,,,,Warning (verbal or written),,,,,,,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,
1/8/20,22:26:11,5TH ST,POLE LINE RD,O,11,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Equipment violation,Hispanic/Latino,None,Male,F,F,25,None,,,,,Citation for infraction,4000(A) VC,NO REG:VEH/TRAILER/ETC - I,,,,,,,,
1/8/20,23:44:50,OXFORD CI,WAKE FOREST DR/WAKE FOREST DR,O,5,F,,"Patrol, traffic enforcement, field operations",Reasonable suspicion that this person was engaged in criminal activity,"Actions indicative of a drug transaction, Other reasonable suspicion of a crime",,White,None,Male,F,F,50,None,,,,,Warning (verbal or written),,,,,,,65000 ZZ,LOCAL ORDINANCE VIOL - M,,
1/8/20,03:29:05,F ST,W COVELL BL,O,86,F,,"Patrol, traffic enforcement, field operations",Known to be on parole/probation/PRCS/mandatory supervision,,,Hispanic/Latino,None,Male,F,F,30,"Property was seized, Search of person was conducted, Search of property was conducted",Condition of parole/probation/PRCS/mandatory supervision,Drugs/narcotics,Contraband,Drugs/narcotics,Custodial arrest without warrant,,,14601(A) VC,DRIV:SUSP/ETC LIC:RECKLES - M,,,,,,
1/8/20,19:02:45,ANDERSON RD,RADCLIFFE DR,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,Moving violation,White,None,Female,F,F,60,None,,,,,Warning (verbal or written),,,,,,,22107 VC,UNSAF TURN &/OR NO SIGNAL - I,,
1/8/20,22:19:21,MACE BL,CHILES RD,O,2,F,,"Patrol, traffic enforcement, field operations",Traffic violation,,"Non-moving violation, including registration",White,None,Female,F,F,50,None,,,,,Warning (verbal or written),,,,,,,4000(A)(1) VC,NO REG:VEH/TRAILER/ETC - I,,
