date,time,race,race perceived prior,type,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
2021-03-27,1900-01-01 17:33:00,hispanic/latino,True,Moving Violation,1100  university ave,19:27:37,19:54:30,1168.0,1194.0,1053.0,141.0,1,0,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2022-02-19,1900-01-01 20:46:00,hispanic/latino,False,Moving Violation,1100  university ave,17:52:16,18:19:30,1072.0,1100.0,1246.0,-146.0,1,1,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2021-11-14,1900-01-01 20:29:00,hispanic/latino,False,Moving Violation,1100  university ave,16:57:40,17:26:13,1018.0,1046.0,1229.0,-183.0,1,1,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2022-09-18,1900-01-01 20:16:00,asian,False,Non-moving violation / including registration,1100  university ave,19:11:49,19:38:34,1152.0,1179.0,1216.0,-37.0,1,1,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2021-12-10,1900-01-01 18:40:00,black/african american,False,Moving Violation,1100  university ave,16:49:43,17:19:37,1010.0,1040.0,1120.0,-80.0,1,1,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2022-02-02,1900-01-01 18:03:00,hispanic/latino,False,Moving Violation,1100  university ave,17:33:37,18:01:46,1054.0,1082.0,1083.0,-1.0,1,1,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2021-03-24,1900-01-01 17:23:00,middle eastern/south asian,False,Moving Violation,1100  university ave,19:24:51,19:51:39,1165.0,1192.0,1043.0,149.0,1,0,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2022-08-31,1900-01-01 18:49:00,black/african american,True,Moving Violation,1100  university ave,19:39:26,20:06:49,1179.0,1207.0,1129.0,78.0,1,0,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2021-03-22,1900-01-01 18:07:00,black/african american,False,Moving Violation,1100  university ave,19:22:59,19:49:46,1163.0,1190.0,1087.0,103.0,1,0,University Avenue,94702,"37.868915, -122.2918833","1100 University Ave, Berkeley, CA 94702, USA"
2022-07-15,1900-01-01 20:13:00,hispanic/latino,False,Moving Violation,1200  6th st,20:30:33,21:01:34,1231.0,1262.0,1213.0,49.0,1,0,Sixth Street,1402,"37.88090589999999, -122.3022033","1200 Sixth St, Berkeley, CA 94710, USA"
2021-12-10,1900-01-01 19:00:00,white,False,Moving Violation,1200  6th st,16:49:43,17:19:37,1010.0,1040.0,1140.0,-100.0,1,1,Sixth Street,1402,"37.88090589999999, -122.3022033","1200 Sixth St, Berkeley, CA 94710, USA"
2021-11-14,1900-01-01 20:49:00,asian,False,Moving Violation,1200  9th st,16:57:40,17:26:13,1018.0,1046.0,1249.0,-203.0,1,1,9th Street,3952,"37.7694354, -122.270664","1200 9th St, Alameda, CA 94501, USA"
2021-03-22,1900-01-01 20:21:00,black/african american,False,Moving Violation,1200  addison st,19:22:59,19:49:46,1163.0,1190.0,1221.0,-31.0,1,1,Addison Street,1715,"37.8686191, -122.2882428","1200 Addison St, Berkeley, CA 94702, USA"
2022-04-23,1900-01-01 20:45:00,hispanic/latino,False,Moving Violation,1200  ashby ave,19:52:15,20:20:32,1192.0,1221.0,1245.0,-24.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2022-01-25,1900-01-01 19:00:00,white,False,Moving Violation,1200  ashby ave,17:24:39,17:53:18,1045.0,1073.0,1140.0,-67.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2021-03-12,1900-01-01 20:58:00,black/african american,False,Moving Violation,1200  ashby ave,18:13:35,18:40:18,1094.0,1120.0,1258.0,-138.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2021-10-15,1900-01-01 20:55:00,black/african american,False,Moving Violation,1200  ashby ave,18:30:44,18:57:42,1111.0,1138.0,1255.0,-117.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2021-12-19,1900-01-01 18:50:00,middle eastern/south asian,False,Moving Violation,1200  ashby ave,16:52:24,17:22:26,1012.0,1042.0,1130.0,-88.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2020-12-04,1900-01-01 19:55:00,mixed,False,Moving Violation,1200  ashby ave,16:49:29,17:19:10,1009.0,1039.0,1195.0,-156.0,1,1,Ashby Avenue,94702,"37.8520408, -122.2862887","1200 Ashby Ave, Berkeley, CA 94702, USA"
2022-07-02,1900-01-01 21:02:00,asian,False,Equipment Violation,1200  burnett st,20:34:52,21:06:38,1235.0,1267.0,1262.0,5.0,1,0,Burnett Street,2406,"37.8527235, -122.2862452","1200 Burnett St, Berkeley, CA 94702, USA"
2022-01-25,1900-01-01 18:09:00,white,False,Moving Violation,1200  dwight way,17:24:39,17:53:18,1045.0,1073.0,1089.0,-16.0,1,1,Dwight Way,2007,"37.86115970000001, -122.2876518","1200 Dwight Way, Berkeley, CA 94702, USA"
2021-02-19,1900-01-01 18:47:00,black/african american,False,Moving Violation,1200  dwight way,17:52:31,18:19:44,1073.0,1100.0,1127.0,-27.0,1,1,Dwight Way,2007,"37.86115970000001, -122.2876518","1200 Dwight Way, Berkeley, CA 94702, USA"
2021-11-05,1900-01-01 20:40:00,pacific islander,False,Moving Violation,1200  dwight way,18:05:24,18:33:24,1085.0,1113.0,1240.0,-127.0,1,1,Dwight Way,2007,"37.86115970000001, -122.2876518","1200 Dwight Way, Berkeley, CA 94702, USA"
2021-03-12,1900-01-01 18:49:00,white,False,Moving Violation,1200  dwight way,18:13:35,18:40:18,1094.0,1120.0,1129.0,-9.0,1,1,Dwight Way,2007,"37.86115970000001, -122.2876518","1200 Dwight Way, Berkeley, CA 94702, USA"
2022-01-22,1900-01-01 19:59:00,black/african american,False,Equipment Violation,1200  eastshore hwy,17:21:19,17:50:09,1041.0,1070.0,1199.0,-129.0,1,1,Eastshore Highway,1002,"37.8799768, -122.3072025","1200 Eastshore Hwy, Berkeley, CA 94710, USA"
2022-06-17,1900-01-01 19:54:00,white,False,Moving Violation,1200  gilman st,20:33:29,21:05:29,1233.0,1265.0,1194.0,71.0,1,0,Gilman Street,2320,"37.8809129, -122.2930119","1200 Gilman St, Berkeley, CA 94706, USA"
2021-12-04,1900-01-01 21:02:00,black/african american,False,Moving Violation,1200  haskell st,16:49:29,17:19:10,1009.0,1039.0,1262.0,-223.0,1,1,Haskell Street,94702,"37.8503174, -122.2859262","1200 Haskell St, Berkeley, CA 94702, USA"
2021-09-21,1900-01-01 17:48:00,white,True,Moving Violation,1200  hearst ave,19:06:45,19:33:27,1147.0,1173.0,1068.0,105.0,1,0,Hearst Avenue,94702,"37.87060530000001, -122.2898251","1200 Hearst Ave, Berkeley, CA 94702, USA"
2022-01-25,1900-01-01 20:31:00,asian,False,Moving Violation,1200  hearst ave,17:24:39,17:53:18,1045.0,1073.0,1231.0,-158.0,1,1,Hearst Avenue,94702,"37.87060530000001, -122.2898251","1200 Hearst Ave, Berkeley, CA 94702, USA"
2021-11-14,1900-01-01 18:34:00,hispanic/latino,False,Moving Violation,1200  martin luther king jr way,16:57:40,17:26:13,1018.0,1046.0,1114.0,-68.0,1,1,Martin Luther King Junior Way,1239,"37.8048358, -122.2768059","1200 Martin Luther King Jr Way, Oakland, CA 94612, USA"
2021-09-05,1900-01-01 19:10:00,white,False,Moving Violation,1200  martin luther king jr way,19:31:34,19:58:43,1172.0,1199.0,1150.0,49.0,1,0,Martin Luther King Junior Way,1239,"37.8048358, -122.2768059","1200 Martin Luther King Jr Way, Oakland, CA 94612, USA"
2021-11-06,1900-01-01 19:24:00,hispanic/latino,False,Equipment Violation,1200  oregon st,18:04:26,18:32:29,1084.0,1112.0,1164.0,-52.0,1,1,Oregon Street,2222,"37.8548639, -122.2863691","1200 Oregon St, Berkeley, CA 94702, USA"
2022-01-23,1900-01-01 20:49:00,white,False,Equipment Violation,1200  san pablo ave,17:22:25,17:51:12,1042.0,1071.0,1249.0,-178.0,1,1,San Pablo Avenue,2218,"37.8819309, -122.2967329","1200 San Pablo Ave, Berkeley, CA 94706, USA"
2021-02-26,1900-01-01 18:03:00,hispanic/latino,False,Moving Violation,1200  san pablo ave,17:59:47,18:26:45,1080.0,1107.0,1083.0,24.0,1,0,San Pablo Avenue,2218,"37.8819309, -122.2967329","1200 San Pablo Ave, Berkeley, CA 94706, USA"
2021-04-04,1900-01-01 20:07:00,asian,False,Moving Violation,1200  san pablo ave,19:34:58,20:02:07,1175.0,1202.0,1207.0,-5.0,1,1,San Pablo Avenue,2218,"37.8819309, -122.2967329","1200 San Pablo Ave, Berkeley, CA 94706, USA"
2021-12-11,1900-01-01 20:31:00,hispanic/latino,False,Moving Violation,1200  san pablo ave,16:49:53,17:19:48,1010.0,1040.0,1231.0,-191.0,1,1,San Pablo Avenue,2218,"37.8819309, -122.2967329","1200 San Pablo Ave, Berkeley, CA 94706, USA"
2022-03-05,1900-01-01 20:01:00,white,False,Moving Violation,1200  spruce st,18:06:34,18:33:21,1087.0,1113.0,1201.0,-88.0,1,1,Spruce Street,1433,"37.8859127, -122.2669285","1200 Spruce St, Berkeley, CA 94709, USA"
2021-02-26,1900-01-01 19:39:00,black/african american,False,Moving Violation,1200  university ave,17:59:47,18:26:45,1080.0,1107.0,1179.0,-72.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-04-21,1900-01-01 19:49:00,black/african american,False,Moving Violation,1200  university ave,19:50:24,20:18:32,1190.0,1219.0,1189.0,30.0,1,0,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2021-03-12,1900-01-01 20:01:00,black/african american,False,Moving Violation,1200  university ave,18:13:35,18:40:18,1094.0,1120.0,1201.0,-81.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-01-08,1900-01-01 19:46:00,mixed,False,Equipment Violation,1200  university ave,17:06:48,17:36:25,1027.0,1056.0,1186.0,-130.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-01-26,1900-01-01 18:52:00,white,False,Moving Violation,1200  university ave,17:25:45,17:54:21,1046.0,1074.0,1132.0,-58.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2021-08-13,1900-01-01 20:29:00,white,False,Moving Violation,1200  university ave,20:03:48,20:32:24,1204.0,1232.0,1229.0,3.0,1,0,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2021-03-24,1900-01-01 17:45:00,black/african american,False,Moving Violation,1200  university ave,19:24:51,19:51:39,1165.0,1192.0,1065.0,127.0,1,0,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2021-05-27,1900-01-01 17:34:00,black/african american,True,Moving Violation,1200  university ave,20:22:11,20:53:16,1222.0,1253.0,1054.0,199.0,1,0,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-08-26,1900-01-01 20:34:00,middle eastern/south asian,False,Moving Violation,1200  university ave,19:46:42,20:14:23,1187.0,1214.0,1234.0,-20.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2021-03-28,1900-01-01 19:32:00,black/african american,False,Moving Violation,1200  university ave,19:28:32,19:55:26,1169.0,1195.0,1172.0,23.0,1,0,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-09-19,1900-01-01 19:59:00,hispanic/latino,False,Moving Violation,1200  university ave,19:10:15,19:36:59,1150.0,1177.0,1199.0,-22.0,1,1,University Avenue,94702,"37.8693804, -122.2895262","1200 University Ave, Berkeley, CA 94702, USA"
2022-09-04,1900-01-01 19:20:00,middle eastern/south asian,False,Non-moving violation / including registration,1200  virginia st,19:33:27,20:00:39,1173.0,1201.0,1160.0,41.0,1,0,Virginia Street,1338,"37.8738334, -122.2896452","1200 Virginia St, Berkeley, CA 94702, USA"
2022-08-05,1900-01-01 21:00:00,black/african american,False,Moving Violation,1300  4th st,20:13:23,20:42:39,1213.0,1243.0,1260.0,-17.0,1,1,4th Street,94158,"37.7712595, -122.3919931","1300 4th St, San Francisco, CA 94158, USA"
2020-11-29,1900-01-01 18:15:00,hispanic/latino,False,Non-moving violation / including registration,1300  4th st,16:50:13,17:19:39,1010.0,1040.0,1095.0,-55.0,1,1,4th Street,94158,"37.7712595, -122.3919931","1300 4th St, San Francisco, CA 94158, USA"
2022-02-26,1900-01-01 18:04:00,black/african american,False,Moving Violation,1300  addison st,17:59:32,18:26:31,1080.0,1107.0,1084.0,23.0,1,0,Addison Street,1717,"37.8686477, -122.2860219","1300 Addison St, Berkeley, CA 94702, USA"
2021-12-21,1900-01-01 19:22:00,hispanic/latino,False,Moving Violation,1300  ashby ave,16:53:21,17:23:24,1013.0,1043.0,1162.0,-119.0,1,1,Ashby Avenue,94702,"37.8525779, -122.2834576","1300 Ashby Ave, Berkeley, CA 94702, USA"
2022-03-23,1900-01-01 20:00:00,asian,False,Equipment Violation,1300  ashby ave,19:23:42,19:50:29,1164.0,1190.0,1200.0,-10.0,1,1,Ashby Avenue,94702,"37.8525779, -122.2834576","1300 Ashby Ave, Berkeley, CA 94702, USA"
2021-12-31,1900-01-01 19:54:00,black/african american,False,Equipment Violation,1300  bancroft way,16:59:51,17:29:45,1020.0,1050.0,1194.0,-144.0,1,1,Bancroft Way,1925,"37.8651657, -122.2865747","1300 Bancroft Way, Berkeley, CA 94702, USA"
2021-10-28,1900-01-01 20:24:00,black/african american,False,Equipment Violation,1300  berkeley way,18:14:01,18:41:33,1094.0,1122.0,1224.0,-102.0,1,1,Berkeley Way,94702,"37.8705987, -122.2866243","1300 Berkeley Way, Berkeley, CA 94702, USA"
2020-11-22,1900-01-01 19:33:00,black/african american,False,Moving Violation,1300  berkeley wy,16:52:41,17:21:45,1013.0,1042.0,1173.0,-131.0,1,1,Berkeley Way,94702,"37.8705987, -122.2866243","1300 Berkeley Way, Berkeley, CA 94702, USA"
2022-04-22,1900-01-01 20:06:00,black/african american,False,Equipment Violation,1300  blake st,19:51:20,20:19:32,1191.0,1220.0,1206.0,14.0,1,0,Blake Street,2114,"37.8606066, -122.2850823","1300 Blake St, Berkeley, CA 94702, USA"
2022-02-27,1900-01-01 20:10:00,hispanic/latino,False,Moving Violation,1300  burnett st,18:00:34,18:27:30,1081.0,1108.0,1210.0,-102.0,1,1,Burnett Street,94702,"37.8536057, -122.2839688","1300 Burnett St, Berkeley, CA 94702, USA"
